Id,Title,Description,Artwork,LeftAnswer,RightAnswer,LeftHeart,LeftCareer,LeftHappiness,LeftSociability,RightHeart,RightCareer,RightHappiness,RightSociability,ImpactTypes,AgeImpact,IsChainCard,NextOnLeft,NextOnRight,NextPoolLeft,NextPoolRight,LifeStage,IsOnlyOnce
"card_033","Credit Card Offer","A bank offers you a credit card with rewards, but debt may build up fast.","Credit Card Offer_0","Decline it","Sign up",0,1,0,-1,-1,1,2,1,"Career|Happiness|Sociability",0,5,False,,,,,Teenager,False
"card_034","Student Loan","College is expensive, so the bank offers a student loan.","Student Loan_0","Reject the loan","Take the loan",0,-2,-1,-1,-1,3,1,2,"Heart|Career|Happiness|Sociability",1,False,,,,,Any,False
"card_035","Mortgage","Your dream house comes with a big mortgage commitment.","Mortgage_0","Keep renting","Buy the house",1,0,-1,0,-1,1,2,1,"Heart|Career|Happiness|Sociability",1,False,,,,,Teenager,False
"card_036","Election Day","You’re at the polling station and must decide where to cast your vote.","Election Day_0","Vote Republican","Vote Democrat",0,1,1,-1,0,1,1,-1,"Career|Happiness|Sociability",0,2,False,,,,,Teenager,False
"card_037","Florida Man Strikes Again","A half-naked guy offers you a pet alligator. He swears it’s “totally safe.”","Florida Man Strikes Again_0","Adopt the gator.","Call Animal Control.",0,-2,3,1,0,2,-2,-1,"Career|Happiness|Sociability",0,False,,,,,Any,False
"card_038","Karen Strikes","A Karen screams to see the manager as you shop for cereal.","Karen Strikes_0","Pretend to be the manager","Run away",0,0,3,-1,1,0,1,0,"Heart|Happiness|Sociability",1,False,,,,,Senior,False
"card_039","Awkward Dinner","Your uncle starts a political rant at Thanksgiving. Everyone stares at you.","Thanksgiving Dinner_0","Agree with him.","Roast him",0,0,1,-2,0,0,3,-3,"Happiness|Sociability",1,False,,,,,Senior,True
"card_040","Mall Santa Job","A mall offers you a job as the shopping center Santa.","Mall Santa Job_0","Accept.","Decline.",0,2,-1,2,0,0,1,0,"Career|Happiness|Sociability",1,False,,,,,YoungAdult,False
"card_041","UFO Sighting","Locals swear they saw a UFO hovering over a cornfield. You’re nearby.","UFO Sighting_0","Investigate","Ignore",0,0,2,-1,0,-1,0,1,"Career|Happiness|Sociability",1,False,,,,,Senior,True
"card_042","Haunted Motel","A cheap roadside motel has “one room left.” Locals whisper it’s haunted.","Haunted Motel_0","Stay anyway.","Sleep in your car.",-2,0,-1,0,-1,0,2,0,"Heart|Happiness",1,False,,,,,YoungAdult,True
"card_043","Conspiracy Theories","A coworker insists the moon landing was fake.","Conspiracy Theories_0","Nod along","Argue back",0,0,-1,1,0,0,-1,0,"Happiness|Sociability",1,False,,,,,YoungAdult,False
"card_044","Hot Dog Eating Contest","The county fair is hosting a hot dog eating contest.","Hot Dog Eating Contest_0","Enter","Watch safely",0,0,1,0,-3,0,3,0,"Heart|Happiness",1,False,,,,,Senior,False
"card_045","Cowboy Festival","A town festival lets visitors ride mechanical bulls for free","Cowboy Festival_0","Try it","Watch others",-2,0,3,0,0,0,0,1,"Heart|Happiness|Sociability",1,False,,,,,YoungAdult,False
"card_046","Gun Show Raffle","Your neighbor invites you to a raffle where the prize is… a shotgun","Gun Show Raffle_0","Buy a ticket","Decline",-1,0,1,1,0,1,0,-1,"Heart|Career|Happiness|Sociability",1,False,,,,,YoungAdult,False
"card_047","4th of July Chaos","A guy tries to light fireworks with a cigarette. Everyone is cheering.","4th of July Chaos_0","Join in","Call 911",-3,0,2,0,0,1,0,-2,"Heart|Happiness|Sociability",1,False,,,,,Senior,False
"card_048","Desert Road Trip","Your friends propose a spontaneous road trip through the Nevada desert -no maps, no plan.","Desert Road Trip_0","Join them","Stay home",0,-2,3,2,1,2,0,0,"Heart|Career|Happiness|Sociability",1,False,,,,,Teenager,False
"card_049","Surf’s Up","A surfer buddy calls: “The waves are perfect!”","Surf’s Up_0","Go to work instead","Surf with friends",0,2,-1,-1,1,0,2,1,"Heart|Career|Happiness|Sociability",1,False,,,,,Teenager,False
"card_050","Ski Weekend","Friends invite you skiing in the Rockies.","Ski Weekend_0","Too expensive","Go skiing",0,1,-1,0,-1,0,3,2,"Heart|Career|Happiness|Sociability",1,False,,,,,YoungAdult,False
"card_051","Ivy League Party","A Yale student invites you to a campus party.","Ivy League Party_0","Stay home to study","Go to the party",0,2,0,-1,0,0,2,2,"Career|Happiness|Sociability",1,False,,,,,Teenager,False
"card_052","Super Bowl Party","Your neighbors invite you to watch the Super Bowl.","Super Bowl Party_0","Stay home, avoid noise","Join the party, eat wings",1,0,0,-2,0,0,3,3,"Heart|Happiness|Sociability",1,False,,,,,Teenager,False
"card_053","Black Friday Chaos","Walmart opens at 4 AM. You see a 50% off TV ad.","Black Friday Chaos_0","Sleep in","Camp in line",1,0,-1,0,0,0,3,3,"Heart|Happiness|Sociability",1,False,,,,,Senior,False
"card_054","Welcome to Ohio","You wake up and your neighbor’s trampoline is flying across the sky again.","Welcome to Ohio_0","Pretend it’s normal","Try to stop it",0,0,2,0,-1,0,0,1,"Heart|Happiness|Sociability",1,False,,,,,Senior,False
"card_055","Creature in the Cornfield","You see something glowing in the cornfield at night. It’s moving closer.","Creature in the Cornfield_0","Go check it out","Lock the doors and pray",-2,0,1,0,1,0,-1,0,"Heart|Happiness",1,True,"card_056","card_057",,,Senior,True
"card_056","It Was Just Carl","Turns out, it wasn’t an alien or a monster. It was your neighbor Carl wearing a headlamp, looking for his lost lawnmower.","It Was Just Carl_0",,,0,0,0,0,0,0,0,0,,0,False,,,,,Senior,False
"card_057","Cornfield Chase ","You run into the cornfield with your phone flashlight. The glowing thing starts moving faster toward you. It’s… a raccoon wearing a glow stick.","Cornfield Chase_0",,,0,0,0,0,0,0,0,0,,0,False,,,,,Senior,False
"card_058","Bear in the Driveway","You open your garage and there’s a bear sitting on your snowmobile.","Bear in the Driveway_0","Back away slowly.","Try to scare it with the car horn.",0,0,-1,0,0,0,1,0,"Happiness",0,False,,,,,YoungAdult,False
"card_059","The Heat Wave","It’s 112°F outside. Your neighbor is baking cookies on his car hood again.","The Heat Wave_0","Join him for fun.","Complain about global warming online.",1,0,0,-1,-1,0,0,1,"Heart|Sociability",0,False,,,,,Teenager,False
"card_060","The HOA Showdown","Your neighbor’s mailbox is painted the wrong shade of beige. The HOA demands action.","The HOA Showdown_0","I’ll repaint it myself.","This is tyranny!",2,0,-1,1,-1,0,2,-2,"Heart|Happiness|Sociability",1,False,,,,,YoungAdult,False
"card_061","Deer Season Diplomacy","Your neighbor accuses you of scaring off his deer. He’s been tracking them all year.","Deer Season Diplomacy_0","Invite him to your camp.","Tell him freedom’s public land",1,0,0,2,0,0,3,-2,"Heart|Happiness|Sociability",1,False,,,,,YoungAdult,False
"card_062","Small Town Hero","You rescued a kitten from a storm drain. The mayor gives you a medal at the diner.","Small Town Hero_0","Hang it in your garage","Wear it everywhere",2,1,0,0,0,0,1,-3,"Heart|Career|Happiness|Sociability",1,False,,,,,Teenager,False
"card_063","The Backyard Project","You decide to build a shed “without instructions.” Three neighbors join uninvited.","The Backyard Project_0","Let them help","Tell them to watch from the fence",0,0,1,3,0,2,0,-1,"Career|Happiness|Sociability",0,False,,,,,Teenager,False
"card_064","Gas Price Philosophy","Gas hits $5 a gallon. Your friend says “it’s for the planet.”","Gas Price Philosophy_0","Bike to work.","Remind him he drives a truck too",2,0,0,0,0,0,1,-2,"Heart|Happiness|Sociability",1,False,,,,,YoungAdult,False
"card_065","Blank Card","This card was supposed to be something, but no one remembers what.",,,,0,0,0,0,0,0,0,0,,0,False,,,,,Any,False
"card_066","Social Media vs The Stock Market","People online say they’re “taking down Wall Street” by buying random stocks.","Social Media vs The Stock Market_0","Buy one share for the memes.","Pass it",0,5,0,0,0,-5,0,0,"Career",0,False,,,,,Senior,False
"card_067","AI Writes Your Essay","A new app promises it can “write anything for you.”","AI Writes Your Essay_0","Use it for your college paper.","Try to write it yourself.",0,2,0,0,0,-5,1,0,"Happiness|Career",0,False,,,,,Any,False
"card_068","Streaming Subscription Overload","You have seven subscriptions and nothing to watch.","Streaming Subscription Overload_0","Cancel all of them","One more, maybe different",1,0,-1,0,-1,0,2,1,"Heart|Happiness|Sociability",1,False,,,,,Teenager,True
"card_069","Email Server Crash","A government office loses thousands of emails overnight.","Email Server Crash_0","Blame technology.","Blame the intern.",0,0,-1,0,0,-1,1,0,"Career|Happiness",1,False,,,,,YoungAdult,False
"card_070","Bureaucracy 101","You need a form to get a form that lets you apply for another form.","Bureaucracy 101_0","Ask for supervisor “Freedom.”","Fill them all; accept your fate.",2,0,2,1,-1,0,0,0,"Heart|Happiness|Sociability",1,False,,,,,YoungAdult,False
"card_071","Government Shutdown (Again)","The government shuts down. National parks close, but your bills don’t.","Government Shutdown (Again)_0","Take a patriotic unpaid vacation.","Start your own tiny government at home.",2,-1,3,1,3,0,2,2,"Heart|Career|Happiness|Sociability",1,False,,,,,Senior,False
"card_072","Printer Jam Again","You hit 'print' 12 times. Now the printer is spewing paper like a volcano.","Printer Jam Again_0","Unplug and pray","Call IT support… again",0,-2,1,-1,1,0,-1,2,"Heart|Career|Happiness|Sociability",1,False,,,,,YoungAdult,False
"card_073","Office Birthday Cake","You don’t even know whose birthday it is, but cake is cake.","Office Birthday Cake_0","Grab a big slice","Politely decline",-1,0,3,2,1,1,0,-1,"Heart|Career|Happiness|Sociability",1,False,,,,,Teenager,False
"card_074","Video Call Chaos","Half the team is on mute, the other half is frozen.","Video Call Chaos_0","Pretend to lose connection.","Take over and lead.",1,-1,2,0,0,3,1,1,"Heart|Career|Happiness|Sociability",1,False,,,,,YoungAdult,False
"card_075","Unexpected Market Crash","Your portfolio looks like a ski slope","Unexpected Market Crash_0","Panic sell everything","Stay calm and diversify",-2,-2,-1,0,1,3,1,0,"Heart|Career|Happiness",1,False,,,,,YoungAdult,False
"card_076","Crypto Coworker","Your coworker won’t stop talking about a new coin called 'BananaToken.'","Crypto Coworker_0","Invest a little, just in case.","Smile and nod.",-1,1,2,1,1,2,0,0,"Heart|Career|Happiness|Sociability",1,False,,,,,YoungAdult,False
"card_086","Wokeflix Originals","A superhero show where the real villain is... traditional values.","Wokeflix Originals_0","I just wanna watch something fun","I miss when heroes fought crime",0,0,0,0,0,0,0,0,,1,False,,,,,Senior,False
"card_087","Pronoun Policy at Work","HR requires everyone to list pronouns on their badges.","Pronoun Policy at Work_0","My job isn’t about pronouns","Keep ideology off badges",1,0,1,0,1,0,1,0,"Heart|Career|Happiness|Sociability",1,False,,,,,Teenager,True
"card_088","Grandpa's Winchester","An old family rifle is found in the attic with a faded note.","Grandpa's Winchester_0","Keep it in the family","Donate to the museum",2,0,1,1,0,0,-1,-1,"Heart|Happiness|Sociability",0,False,,,,,Teenager,True
"card_089","Second Amendment Right","A debate starts at the diner about constitutional rights.","Second Amendment Right_0","Defend the Constitution","Rights are not negotiable",2,0,1,0,2,0,1,-1,"Heart|Happiness|Sociability",1,False,,,,,Senior,False
"card_090","Freedom Blenders Commercial","A screaming salesman yells from your TV: 'The Freedom Blender! Crush ice and communism!'","Freedom Blenders Commercial_0","Crush a few reds for breakfast","Crush a few reds for breakfast",0,0,0,0,0,0,0,0,,1,False,,,,,Senior,False
"card_091","Late Again","Traffic again. Boss is waiting. Coffee... or consequences?","Late Again_0","Speed up!","Coffee first",-2,3,-3,0,2,-3,4,1,"Heart|Career|Happiness|Sociability",0,False,,,,,Senior,False
"card_092","Freedom Above All","A protester waves a flag shouting: 'Don’t tread on me!'","Freedom Above All_0",,,0,0,1,1,0,0,0,-1,"Happiness|Sociability",1,False,,,,,Senior,False
"card_093","Red or Blue?","Your family dinner turns into a political battlefield after someone mentions gas prices.","Red or Blue_0","Stay silent and eat turkey","Join the argument",1,0,1,2,-2,0,-1,-2,"Heart|Happiness|Sociability",1,False,,,,,Senior,False
"card_094","News War","Two TVs at the gym: one blasting Falcon News, the other ANN (American News Network). Everyone’s pretending not to watch.","News War_0",,,0,0,0,0,0,0,0,0,,0,False,,,,,Senior,False
"card_095","Meme Diplomacy","The Vice President posts a meme mocking himself.","Meme Diplomacy_0",,,0,0,0,0,0,0,0,0,,0,False,,,,,Senior,True
"card_096","Error 420","Too many crypto bros trying to apply for a job at MoBurger’s. The site is temporarily unavailable.",,,,0,0,0,0,0,0,0,0,,0,False,,,,,Senior,False
"card_097","Patriot Alert","After a drone delivery lands in your yard, two ICE agents show up asking if you’ve seen 'foreign technology'","Patriot Alert_0",,,0,0,0,0,0,0,0,0,,0,False,,,,,Senior,False
"card_098","Meme War Heats Up","President posts a meme mocking Governor — the internet erupts.","Meme War Heats Up_0",,,0,0,0,0,0,0,0,0,,0,False,,,,,Any,False
"card_099","Family Therapy Coupon","Your spouse found a “Buy 1 Get 1 Free” therapy coupon online.","Family Therapy Coupon_0","Let’s try it","Therapy’s for quitters",3,0,2,-1,-3,1,-1,0,"Heart|Career|Happiness|Sociability",1,False,,,,,Any,False
"card_100","Coffee Thief","Someone keeps stealing your labeled coffee mug","Coffee Thief_0","Set up a hidden camera","Steal someone else’s mug",0,-1,-1,-2,-1,0,1,-1,"Heart|Career|Happiness|Sociability",0,False,,,,,Teenager,True
"card_101","Mandatory Fun Day","The boss declares a team-building day… at a paintball park.","Mandatory Fun Day_0","Go all-in and lead the team","Fake an injury to skip",0,1,2,2,1,-2,0,-1,"Heart|Career|Happiness|Sociability",1,False,,,,,Teenager,False
"card_102","Office Romance","Two coworkers start dating. Productivity drops.","Office Romance_0","Mind your business","Tell HR — anonymously",0,0,1,2,0,1,0,-2,"Career|Happiness|Sociability",1,False,,,,,Teenager,False
"card_105","Tipping Debate","Barista glares at you.","Tipping Debate_0","Tip 25%","Skip tip",-1,0,2,1,1,0,-2,-1,"Heart|Happiness|Sociability",1,False,,,,,Senior,False
"card_106","Halloween Costume","You dress up as a politician","Halloween Costume_0","Funny choice","Too edgy",0,0,3,1,0,0,-1,-1,"Happiness|Sociability",1,False,,,,,Any,False
"card_107","Writing Memoir","You feel nostalgic.","Writing Memoir_0","Start writing","Watch TV instead",1,1,3,0,0,0,1,0,"Heart|Career|Happiness",1,False,,,,,Adult,True
"card_108","Writing Memoir","You feel nostalgic.","Writing Memoir_0","Start writing","Watch TV instead",1,1,3,0,0,-5,0,-1,"Heart|Career|Happiness|Sociability",1,False,,,,,Adult,True
"card_109","Electric Car Charger","The charger costs more than gas this month.","Electric Car Charger_0","Still worth it","Back to gas",-1,0,2,1,1,0,-1,0,"Heart|Happiness|Sociability",1,False,,,,,Teenager,False
"card_110","Conspiracy Uncle","He sends you a 9-minute “documentary.”",,"Watch it","Mute uncle",-1,0,2,1,1,0,1,-1,"Heart|Happiness|Sociability",1,False,,,,,Senior,False
"card_111","Parking Ticket","You got one minute after meter expired.",,"Appeal it","Pay and move on",0,-1,1,0,0,0,1,0,"Career|Happiness",1,False,,,,,Teenager,False
"card_112","Movie Award Night","The wrong movie wins again.",,,,0,0,0,0,0,0,0,0,,0,False,,,,,Senior,False
"card_113","IRS Letter","We need clarification…","IRS Letter_0","Call a lawyer","Panic quietly",0,-3,0,0,-2,0,-1,0,"Heart|Career|Happiness",1,False,,,,,YoungAdult,True
"card_113","The Phone Update","Your phone updates overnight. It looks exactly the same, but slower.","The Phone Update_0","Accept your fate","Buy the new model",0,0,1,0,0,-1,2,0,"Happiness|Career",1,False,,,,,Senior,False
"card_114","Side Hustle Era","Everyone’s doing a side hustle: Etsy, dropshipping, delivery… your feed won’t stop.","Side Hustle Era_0","Ignore it. Keep balance.","Grind after work.",1,0,1,1,-1,2,-1,-1,"Heart|Career|Happiness|Sociability",1,False,,,,,Teenager,True
"card_115","A Persistent Cough","You've had a dry cough for weeks. Your insurance has a $500 deductible for specialist visits. Do you ignore it and hope it goes away, or pay up to see a doctor?",,,,-12,0,-5,0,20,-5,5,0,"Heart|Career|Happiness",1,False,,,,,Senior,False
"card_116","Civic Duty Calls","You got a summons for Jury Duty. It pays $15 a day. You have a huge project due at work. Do you try to act 'crazy' to get dismissed?","Civic Duty Calls_0","Pretend Insanity","Do My Duty",0,3,2,-3,0,-4,-3,2,"Career|Happiness|Sociability",1,False,,,,,Senior,False
"card_117","Scalding Coffee","You spilled a 'Mega-Heat' coffee from 'Big-Burger' on your lap. The warning label was slightly blurry. Should you sue for $2 million?","Scalding Coffee_0","Call My Lawyer!","It was my fault",-2,5,1,-1,5,0,-5,5,"Heart|Career|Happiness|Sociability",1,False,,,,,Senior,True
"card_118","Mandatory Sensitivity Seminar","HR has scheduled a 4-hour mandatory seminar on 'Micro-Aggressions in the Workplace.' You find the material absurd and a waste of productive time. Do you sit quietly and nod, or speak your mind about it?","Mandatory Sensitivity Seminar_0","Nod and Smile","Call it Out",0,2,-4,1,5,-5,2,-3,"Heart|Career|Happiness|Sociability",1,False,,,,,Teenager,False
"card_119","The Lemonade Stand Raid","Your daughter is selling lemonade on the sidewalk. A city inspector arrives and demands to see a 'Commercial Food License' and a health certificate. Do you tell him to leave your property?","The Lemonade Stand Raid_0","Stand Your Ground","Shut it Down",4,5,-3,-1,0,0,-10,-2,"Heart|Career|Happiness|Sociability",1,False,,,,,YoungAdult,True
"card_120","Independence Day","Your town banned fireworks because they ""scare the local squirrels.""","Independence Day_0","Light the M-80s","Watch on TV",1,-1,0,0,0,0,0,1,"Heart|Career|Happiness",0,False,,,,,Senior,False
"card_121","The Noise Complaint","Your neighbor is playing loud ""Yacht Rock"" at 2 AM on a Tuesday.","The Noise Complaint_0","Go Talk Like a Man","Call 311 Anonymously",-1,0,0,1,1,0,0,-1,,0,False,,,,,Any,False
"card_122","The Subscription","A streaming service removed a classic movie because it’s ""problematic"" by today's standards.","The Subscription_0","Buy the Physical DVD","Accept the Edit",1,0,0,0,-1,0,0,0,"Heart",1,False,,,,,Senior,False
"card_123","The AI Replacement","Your company introduced an AI that does 80% of your job. Your boss calls it ""Efficiency.""","The AI Replacement_0","Learn to Prompt","Sabotage the AI",-1,1,0,0,0,-1,1,0,"Heart|Career|Happiness",1,False,,,,,Senior,True
"card_124","The Infinite Loop","A politician on TV claims that taxing you more and doubling the minimum wage will somehow make your $7 eggs cheaper. Do you buy into this ""New Math""?","The Infinite Loop_0",,,0,0,0,0,0,0,0,0,,1,True,"card_125","card_125",,,Senior,False
"card_125","Freedom Air Pest Control","Farmers in Texas complain about feral hogs destroying land.
A private company offers helicopter-based “pest control” — and civilians can join after a short safety course.
You sign the waiver without reading it.","Freedom Air Pest Control_0","Join the helicopter hunt","Stay on the ground",-10,15,5,-5,5,0,-5,5,"Heart|Career|Happiness|Sociability",1,False,,,,,Senior,False
"card_126","Garage Startup","You have a startup idea.
It starts in a messy garage with cheap laptops, empty coffee cups, and big dreams.
Do you clean the garage and get to work?","Garage Startup_0","Clean the garage","Ignore it",-1,5,1,0,0,-5,-1,0,"Heart|Career|Happiness",1,False,,,,,Senior,True
"card_128","Monster Truck Rally","Grave Digger vs. Megalodon! Mud flying, engines roaring, beer flowing. ","Monster Truck Rally_0","Skip It","Hell Yeah",2,1,-2,-3,-1,-2,6,5,"Heart|Career|Happiness|Sociability",1,False,,,,,Senior,False
"card_129","Anti-Tax Protest","Government taking too much! Join the protest with Gadsden flags or pay taxes like a sheep?","Anti-Tax Protest_0","Stay Home","No New Taxes!",2,-2,0,-3,-1,2,0,3,"Heart|Career|Sociability",1,False,,,,,Senior,False
"card_078","Lost Wallet","You find a wallet on a lonely road. No ID, just a few bills inside.","Lost Wallet_0","Take the money.","Leave it where it lies.",-1,0,1,-1,1,0,0,1,"Heart|Happiness|Sociability",1,True,"card_079","card_082",,,Teenager,True
"card_079","Gas Station Stop","You stop for gas. The cashier watches you a little too long.","Gas Station Stop_0","Ask if anyone lost a wallet.","Buy gas and say nothing.",0,0,-1,1,0,0,1,0,"Career|Happiness|Sociability",1,True,"card_080","card_081",,,Teenager,False
"card_080","Strange Man","A man approaches, calm but intense. He asks if you found something on the road.","Strange Man_0","Talk to him about the wallet.","Walk away.",-1,0,0,-1,1,0,2,1,"Heart|Happiness|Sociability",1,True,"card_083","card_084",,,Teenager,False
"card_081","Motel Night","You rent a small room. Outside, the wind howls through the empty highway.","Motel Night_0","Count the money","Try to sleep",-1,0,0,-1,1,0,1,0,"Heart|Happiness|Sociability",1,True,"card_083","card_084",,,Teenager,False
"card_082","Old Sheriff","An old sheriff stops by your car. 'Funny how the world changes, huh?' he says.","Old Sheriff_0","Listen to his advice.","Tell him the world’s not changing.",1,0,1,1,0,0,2,-1,"Heart|Happiness|Sociability",1,True,"card_084","card_085",,,Teenager,False
"card_083","Chance Meeting","The man flips a coin and asks you to call it. 'This coin's been traveling longer than you have,' he says.","Chance Meeting_0","Heads","Refuse to play",-2,0,0,0,1,0,1,1,"Heart|Happiness|Sociability",1,True,"card_084","card_085",,,Teenager,False
"card_084","Quiet Breakfast","A diner. Morning sun through the window. You drink your coffee and think about nothing at all.","Quiet Breakfast_0",,,0,0,0,0,0,0,0,0,,0,False,,,,,Teenager,False
"card_085","Desert Reflection","The desert stretches endlessly. You realize some roads never lead anywhere, yet you walk them anyway.","Desert Reflection_0",,,0,0,0,0,0,0,0,0,,0,False,,,,,Teenager,False
